ID,DESC,PROGRAM_NAME,DONOR_DESC,DONOR_NAME
149667,"Program established to recognize, encourage and promote leadership among future wildlife management professionals. Candidates must be an undergraduate in a recognized wildlife program, have at least a junior standing (completed a minimum of 56 semester hours or 108 quarter hours), and have at least one semester or two quarters remaining in their degree program.",Wildlife Leadership Awards,"The Rocky Mountain Elk Foundation's mission is to ensure the future of elk, other wildlife, their habitat, and our hunting heritage. This mission is accomplished through land protection, habitat stewardship, elk restoration and outreach programs to help people learn more about hunting heritage and the role hunters play in conserving wildlife and their habitat.",Rocky Mountain Elk Foundation
149669,Leadership-based award available to ADAA members enrolled in a dental assisting program.,Juliette A. Southard Scholarship,"A professional membership association, provides continuing education to dental assistants through home study courses; professional journals; and local, state, and national meetings with educational agendas.",American Dental Assistants Association
149670,"This award is available for undergraduate (must be at least a second semester freshman), graduate, or doctoral study in aerospace, electrical, or mechanical engineering. Applicants must demonstrate an interest in vertical flight technology through contribution to the vertical flight technical community such as technical papers presented at technical meetings, submission to technical journals, participating in aerospace engineering design competitions, etc. All students must attend for the entire year following acceptance of the scholarship.",Vertical Flight Foundation Scholarship,"A professional, technical society dedicated to the advancement of vertical flight technology. Members encompass the entire spectrum of the vertical flight industry, including government, military, civil, engineers, managers, pilots, educators and students. The Society encompasses all facets of the industry including airframe designers, turbine engine manufacturers, avionics and systems integrators, suppliers and consultants. The Society pursues excellence within the industry by stimulating research, debate and expert opinion.",AHS International–The Vertical Flight Technical Society
149673,"Awarded on the basis of academic excellence, this scholarship helps finance the educational endeavors of undergraduate and graduate students concentrating in real estate appraisal, land economics, real estate or allied fields.",Appraisal Institute Education Trust Education Scholarships,"The AIET supports and funds a vast range of initiatives, from world-renowned resources such as the Y.T. and Louise Lee Lum Library, to programs that will help secure the future of the valuation industry, including research grants and scholarships.",Appraisal Institute Education Trust
149676,Available to enrolled undergraduates who submit a paper on a phase of atmospheric sciences with a statement from a supervisor on the student's original contribution to the work. Minimum 3.0 GPA required. No more than two students from any one institution may enter papers in one contest. Must submit letter from department head or faculty member confirming applicant's undergraduate status and paper's originality. Must be a U.S. citizen.,Father James B. Macelwane Annual Awards,Nonprofit scientific society that serves the atmospheric and related oceanic and hydrologic sciences. It promotes the development and dissemination of information and education on the atmospheric and related oceanic and hydrologic sciences and the advancement of their professional applications.,American Meteorological Society
149677,Award for naval engineering students or students in related disciplines in the final year of an undergraduate program or for one year of graduate study at an accredited institution. Must be full-time student and a U.S. citizen. Award of $3000 for undergraduates and $4000 for graduate students.,American Society of Naval Engineers Scholarship,A society serving the naval engineering community by advancing the knowledge and practice of naval engineering in public and private applications and operations.,American Society of Naval Engineers
149680,"One-time award for students of Armenian descent. Must be an undergraduate in sophomore, junior, or senior years, or graduate student, attending an accredited U.S. institution. Award based on need, merit, and character. Application fee: $15.",Armenian Students Association of America Inc. Scholarships,"The purposes of this association are educational and charitable, in that it shall encourage educational pursuits by Armenians in America and the raising of their intellectual standards, provide financial assistance in the form of scholarships and loans to deserving Armenian students, develop fellowship among them, cultivate in them the spirit of service in the public interest, and acquaint them and the entire American community with Armenian culture.",Armenian Students Association of America Inc.
149684,"Merit award available to students ages 17 to 22 who are current members, children, or grandchildren of members of the Sons of Norway. School transcript required. Academic potential and clarity of study plan is key criterion for award. Minimum 3.0 GPA required.",Astrid G. Cates and Myrtle Beinhauer Scholarship Funds,The foundation is a fraternal benefit society with a focus on preserving and promoting Norwegian culture and heritage.,Sons of Norway Foundation
149686,"Award for undergraduate or graduate study is available to dependent children, grandchildren and spouses of legally blind veterans to include Active Duty legally blinded Armed Forces members. The veteran's blindness may be either service or non-service connected. High school seniors may apply. Applicant must be enrolled or accepted for admission as a full-time student in an accredited institution of higher learning, business, secretarial, or vocational school. Six awards of $2000 each are given.",Kathern F. Gruber Scholarship,"A nonprofit service organization for blind veterans. The organization explores and identifies veterans needing services, linking them to appropriate benefits, training, and job opportunities in both the public and private sectors.",Blinded Veterans Association
149690,"Grants are provided to supplement financial assistance to eligible American Indian/Alaska Native students entering college seeking a Baccalaureate degree. A student must be a member of, or at least one-quarter degree Indian blood descendent of a member of an American Indian tribe who are eligible for the special programs and services provided by the United States through the Bureau of Indian Affairs to Indians because of their status as Indians.",Bureau of Indian Education Grant Program,Bureau provides supplemental financial assistance to eligible American Indian students pursuing an undergraduate degrees.,Bureau of Indian Affairs Office of Indian Education Programs
149692,"Competitive award to high school juniors planning careers in any business or professional field of study which requires a four-year college degree. Award is renewable based on continuing eligibility. All awards are given through local Chapters of the EWI. Applicant must apply through nearest Chapter and live within the Chapter's boundaries. Student must have a sponsoring teacher and school to be considered, and only one applicant per school. For more details visit http://www.ewiconnect.com.",Executive Women International Scholarship Program,Organization promotes educational services through scholarship and grants.,Executive Women International
149693,One-time award for students who are in financial need and have been accepted or are enrolled in an accredited school of nursing. A letter of acceptance into the nursing program or the transcript stating that the applicant is enrolled in the nursing program must be included with the application.,National Society Daughters of the American Revolution Caroline E. Holt Nursing Scholarships,"A lineage society and volunteer women's service organization that is dedicated to promoting patriotism, preserving American history, and securing America's future through better education for children. Awards scholarships to students showing dedication to the pursuit of an undergraduate degree in one of the following areas: history, political science, economics, government, law, business, education, nursing, and more.",National Society Daughters of the American Revolution
149694,"One-time award for active members of the Civil Air Patrol to pursue undergraduate, graduate, or trade or technical education. Must be a current CAP member. Significant restrictions apply. Not open to the general public.",Civil Air Patrol Academic Scholarships,"Non-combatant Auxiliary of the USAF with three-sided mission: Cadet Programs, Emergency Services, and Aerospace Education.","Civil Air Patrol, USAF Auxiliary"
149695,Annually recognizes five USBC Youth bowlers for their community involvement and academic achievements.,USBC Earl Anthony Memorial Scholarship,"The national governing body, ensures the integrity and protects the future of the sport, provides programs and services and enhances the bowling experience.",United States Bowling Congress
149696,Awards available to college seniors enrolled in dairy science courses. Applicants must be nominated by their college or university professor and must intend to continue in the dairy field. A college or university may nominate up to 2 applicants.,NDS Student Recognition Award,"An organization of dairy producers, processors, scientists, students, educators, and others who share a desire to preserve dairy history, recognize past and present dairy leaders and encourage young people to enter the dairy industry and to keep it strong.",National Dairy Shrine
149697,Scholarship of $2000 each year for up to four consecutive years to a graduating high school senior who will have a concentrated study of a minimum of 24 credit hours in American history or American government while in college. United States citizens residing abroad may apply through a Units Overseas chapter.,National Society Daughters of the American Revolution Dr. Aura-Lee A. Pittenger and James Hobbs Pittenger American History Scholarship,"A lineage society and volunteer women's service organization that is dedicated to promoting patriotism, preserving American history, and securing America's future through better education for children. Awards scholarships to students showing dedication to the pursuit of an undergraduate degree in one of the following areas: history, political science, economics, government, law, business, education, nursing, and more.",National Society Daughters of the American Revolution
149698,"Need and merit-based award available to graduating high school seniors. Minimum GPA of 3.0 required. Must be daughter of commissioned officer in regular Army, Navy, Coast Guard, Air Force, Marines (active, retired, or deceased). Must submit parent's rank and branch of service. Application can be completed and downloaded from web site, http://www.daughters1894.org.",Daughters of the Cincinnati Scholarship,"Organization incorporated in 1894 by women descendants of Revolutionary officers with one of its purposes ""to advance and encourage investigation and study."" To this end a Scholarship Fund was established in 1906.",Daughters of the Cincinnati
149700,"Scholarship available to current DECA or Collegiate DECA members for undergraduate study in marketing education, marketing, entrepreneurship, finance, hospitality or management. Nonrenewable merit-based award for current DECA members based on DECA activities, grades, and leadership.",Harry A. Applegate Scholarship,"DECA prepares emerging leaders and entrepreneurs in marketing, finance, hospitality and management in high schools and colleges around the globe.",DECA (Distributive Education Clubs of America)
